nombre_aeropouerto,codigo_IATA,ISO_pais,ISO_region
ALZINTAN,ZIS,LY,LY-JG
ZWARA,WAX,LY,LY-NQ
ERANDIQUE,EDQ,HN,HN-LE
NHON CO AIRFIELD,HOO,VN,VN-CH
SARY SU,HRC,KZ,KZ-KAR
GISENYI,GYI,RW,RW-04
BUTARE,BTQ,RW,RW-05
KIGALI INTERNATIONAL,KGL,RW,RW-01
RUHENGERI,RHG,RW,RW-03
KAMEMBE,KME,RW,RW-04
ATBARA,ATB,SD,SD-04
EL DEBBA,EDB,SD,SD-01
DONGOLA,DOG,SD,SD-01
DAMAZIN,RSS,SD,SD-24
PALOICH,HGI,SS,SS-23
EL FASHER,ELF,SD,SD-02
GALEGU,DNX,SD,SD-25
GENEINA,EGN,SD,SD-12
HEGLIG,HEG,SD,SD-13
ZHENGZHOU SHANGJIE,HSJ,CN,CN-41
KASSALA,KSL,SD,SD-05
KHASHM EL GIRBA,GBU,SD,SD-06
KADUGLI,KDX,SD,SD-13
RUMBEK,RBX,SS,SS-18
MEROWE NEW,MWE,SD,SD-01
EN NAHUD,NUD,SD,SD-09
NYALA,UYL,SD,SD-11
NEW HALFA,NHF,SD,SD-05
EL OBEID,EBD,SD,SD-09
PORT SUDAN NEW INTERNATIONAL,PZU,SD,SD-26
KHARTOUM INTERNATIONAL,KRT,SD,SD-03
MALAKAL,MAK,SS,SS-23
WADI HALFA,WHF,SD,SD-01
WAD MEDANI,DNI,SD,SD-07
WAU,WUU,SS,SS-14
ZALINGEI,ZLX,SD,SD-12
ARUSHA,ARK,TZ,TZ-01
BUKOBA,BKZ,TZ,TZ-05
JULIUS NYERERE INTERNATIONAL,DAR,TZ,TZ-02
DODOMA,DOD,TZ,TZ-03
SONGWE,MBI,TZ,TZ-14
IRINGA,IRI,TZ,TZ-04
KIGOMA,TKQ,TZ,TZ-08
KILWA,KIY,TZ,TZ-12
KILIMANJARO INTERNATIONAL,JRO,TZ,TZ-01
LINDI,LDI,TZ,TZ-12
LAKE MANYARA,LKY,TZ,TZ-26
KHATGAL,HTM,MN,MN-041
MAFIA,MFA,TZ,TZ-19
MWADUI,MWN,TZ,TZ-22
MASASI,XMI,TZ,TZ-17
MPANDA,NPY,TZ,TZ-20
MOSHI,QSI,TZ,TZ-09
MTWARA,MYW,TZ,TZ-17
MUSOMA,MUZ,TZ,TZ-13
MWANZA,MWZ,TZ,TZ-18
NACHINGWEA,NCH,TZ,TZ-12
NJOMBE,JOM,TZ,TZ-04
PEMBA,PMA,TZ,TZ-25
SERONERA,SEU,TZ,TZ-13
SONGEA,SGX,TZ,TZ-21
SUMBAWANGA,SUT,TZ,TZ-20
SHINYANGA,SHY,TZ,TZ-22
TABORA,TBO,TZ,TZ-24
TANGA,TGT,TZ,TZ-25
ABEID AMANI KARUME INTERNATIONAL,ZNZ,TZ,TZ-07
ARUA,RUA,UG,UG-N
ENTEBBE INTERNATIONAL,EBB,UG,UG-C
GULU,ULU,UG,UG-N
JINJA,JIN,UG,UG-E
KABALEGA FALLS,PAF,UG,UG-W
KASESE,KSE,UG,UG-W
MBARARA,MBQ,UG,UG-W
MASINDI,KCU,UG,UG-W
SOROTI,SRT,UG,UG-E
TORORO,TRY,UG,UG-E
HAWABANGO,HWA,PG,PG-GPK
CHENGDU HUAIZHOU,HZU,CN,CN-51
IBOKI,IBI,PG,PG-WBK
INDIGO BAY LODGE,IBL,MZ,MZ-I
SICOGON AIRSTRIP,ICO,PH,PH-ILI
PULAU PANJANG,PPJ,ID,ID-JB
NOTOHADINEGORO,JBB,ID,ID-JI
BANYUWANGI INTERNATIONAL,BWX,ID,ID-JI
BAWEAN - HARUN THOHIR,BXW,ID,ID-JI
BLANGKEJEREN,GYO,ID,ID-AC
APALAPSILI,AAS,ID,ID-PA
ANGGI,AGD,ID,ID-PB
GUNUNG BATIN,AKQ,ID,ID-LA
AYAWASI,AYW,ID,ID-PB
BOALANG,BJG,ID,ID-ST
BATOM,BXM,ID,ID-PA
DABRA,DRH,ID,ID-PA
ELELIM,ELR,ID,ID-PA
EWER,EWE,ID,ID-PA
GAG ISLAND,GAV,ID,ID-PB
ILU,IUL,ID,ID-PA
KARUBAGA,KBF,ID,ID-PA
KAMBUAYA,KBX,ID,ID-PB
KAMUR,KCD,ID,ID-PA
KON,KCI,TL,TL-LA
KEISAH,KEA,ID,ID-PA
KIMAN,KMM,ID,ID-PA
KOTABANGUN,KOD,ID,ID-KI
DEPARTI PARBO,KRC,ID,ID-JA
KELILA,LLN,ID,ID-PA
LEWOLEBA,LWE,ID,ID-NT
LUNYUK,LYK,ID,ID-NB
MALIANA,MPT,ID,ID-NT
MASALEMBO,MSI,ID,ID-JI
MUTING,MUF,ID,ID-PA
BANAINA,NAF,ID,ID-KU
OBANO,OBD,ID,ID-PA
POMALA,PUM,ID,ID-SG
PURWOKERTO,PWL,ID,ID-JT
SUGIMANURU,RAQ,ID,ID-SG
ROKOT,RKI,ID,ID-SB
ROTI,RTI,ID,ID-NT
YURUF,RUF,ID,ID-PA
SANGIR,SAE,ID,ID-NB
TUMBANG SAMBA,TBM,ID,ID-KT
TIOM,TMY,ID,ID-PA
SENGGO,ZEG,ID,ID-PA
BILOGAI-SUGAPA,UGU,ID,ID-PA
INDAGEN,IDN,PG,PG-MPL
IAMALELE,IMA,PG,PG-MBA
INHAMINGA,IMG,MZ,MZ-S
PAKYONG,PYG,IN,IN-SK
JINDAL VIJAYNAGAR,VDY,IN,IN-KA
JAGDALPUR,JGB,IN,IN-CT
NEYVELI,NVY,IN,IN-TN
RAJOURI,RJI,IN,IN-JK
TEZU,TEI,IN,IN-AR
CHINDE,INE,MZ,MZ-Q
IOKEA,IOK,PG,PG-GPK
IOMA,IOP,PG,PG-NPP
KHANEH,KHA,IR,IR-04
NEW ISHIGAKI,ISG,JP,JP-47
ITOKAMA,ITK,PG,PG-NPP
VIVEROS ISLAND,IVI,PA,PA-8
JAGDAQI GUANGMING,JGD,CN,CN-23
JINCHANG JINCHUAN,JIC,CN,CN-62
JOS ORNO IMSULA,JIO,ID,ID-MA
QIANJIANG WULINGSHAN,JIQ,CN,CN-50
JERICOACOARA - COMANDANTE ARISTON PESSOA REGIONAL,JJD,BR,BR-CE
QUARTZ CREEK,JLA,US,US-AK
JINZHOU BAY,JNZ,CN,CN-21
JOSEPHSTAAL,JOP,PG,PG-MPM
CHIZHOU JIUHUASHAN,JUH,CN,CN-34
ANIMAS AIR PARK,AMK,US,US-CO
BROADUS,BDX,US,US-MT
EUREKA,EUE,US,US-NV
JACKPOT/HAYDEN FIELD,KPT,US,US-NV
ROLLA DOWNTOWN,RLA,US,US-MO
ELIZABETH FIELD,FID,US,US-NY
HUMBOLDT MUNICIPAL,HUD,US,US-IA
JEFFERSON COUNTY INTERNATIONAL,TWD,US,US-WA
KAYENTA,MVM,US,US-AZ
COLUMBIA COUNTY,HCC,US,US-NY
ARDMORE DOWNTOWN EXECUTIVE,AHD,US,US-OK
GRAND CANYON WEST,GCW,US,US-AZ
LAMPSON FIELD,CKE,US,US-CA
MONTAGUE-YREKA ROHRER FIELD,ROF,US,US-CA
FREMONT COUNTY,CNE,US,US-CO
COOPERSTOWN-WESTVILLE,COP,US,US-NY
COUNCIL,CIL,US,US-AK
IRAAN MUNICIPAL,IRB,US,US-TX
GANSNER FIELD,GNF,US,US-CA
CHILOQUIN STATE,CHZ,US,US-OR
ST. MARY'S COUNTY REGIONAL,LTW,US,US-MD
ARAPAHOE MUNICIPAL,AHF,US,US-NE
PRINCETON,PCT,US,US-NJ
CALVERTON EXECUTIVE AIRPARK,CTO,US,US-NY
GRAND LAKE REGIONAL,NRI,US,US-OK
GRANTS PASS,GTP,US,US-OR
JERRY TYLER MEMORIAL,NLE,US,US-MI
GRAND COULEE DAM,GCD,US,US-WA
VALLE,VLE,US,US-AZ
PERRY-FOLEY,FPY,US,US-FL
MANTI-EPHRAIM,NTJ,US,US-UT
SALINA GUNNISON,SBO,US,US-UT
CENTRAL JERSEY REGIONAL,JVI,US,US-NJ
EUNICE,UCE,US,US-LA
GOLD BEACH MUNICIPAL,GOL,US,US-OR
KENTLAND MUNICIPAL,KKT,US,US-IN
PRENTICE,PRW,US,US-WI
MAVERICK COUNTY MEMORIAL INTERNATIONAL,EGP,US,US-TX
BOULDER CITY-LAKE MEAD INTERNATIONAL,BLD,US,US-NV
MESQUITE INTERNATIONAL,MFH,US,US-NV
IOSCO COUNTY,ECA,US,US-MI
FLORENCE MUNICIPAL,FMU,US,US-OR
ANACORTES,OTS,US,US-WA
ROOSEVELT MUNICIPAL,ROL,US,US-UT
CANTON MUNICIPAL,CTK,US,US-SD
NORTH FORK VALLEY,WPO,US,US-CO
ANTLERS MUNICIPAL,ATE,US,US-OK
AUSTIN,ASQ,US,US-NV
APALACHICOLA REGIONAL,AAF,US,US-FL
LEHIGH VALLEY INTERNATIONAL,ABE,US,US-PA
ABILENE REGIONAL,ABI,US,US-TX
ALBUQUERQUE INTERNATIONAL SUNPORT,ABQ,US,US-NM
ABERDEEN REGIONAL,ABR,US,US-SD
SOUTHWEST GEORGIA REGIONAL,ABY,US,US-GA
ANTRIM COUNTY,ACB,US,US-MI
NANTUCKET MEMORIAL,ACK,US,US-MA
WACO REGIONAL,ACT,US,US-TX
CALIFORNIA REDWOOD COAST-HUMBOLDT COUNTY,ACV,US,US-CA
ATLANTIC CITY INTERNATIONAL,ACY,US,US-NJ
LENAWEE COUNTY,ADG,US,US-MI
ADA REGIONAL,ADT,US,US-OK
ARDMORE MUNICIPAL,ADM,US,US-OK
ADDISON,ADS,US,US-TX
JOINT BASE ANDREWS,ADW,US,US-MD
ALBERT LEA MUNICIPAL,AEL,US,US-MN
ALEXANDRIA INTERNATIONAL,AEX,US,US-LA
KARATO,KAF,PG,PG-NSB
USAF ACADEMY AIRFIELD,AFF,US,US-CO
WASHINGTON COUNTY,WSG,US,US-PA
JAFFREY SILVER RANCH,AFN,US,US-NH
AFTON MUNICIPAL,AFO,US,US-WY
FORT WORTH ALLIANCE,AFW,US,US-TX
ALLEGHENY COUNTY,AGC,US,US-PA
MAGNOLIA MUNICIPAL / RALPH C WEISER FIELD,AGO,US,US-AR
AUGUSTA REGIONAL AT BUSH FIELD,AGS,US,US-GA
AMEDEE ARMY AIR FIELD,AHC,US,US-CA
AMERY MUNICIPAL,AHH,US,US-WI
ATHENS BEN EPPS,AHN,US,US-GA
ALLIANCE MUNICIPAL,AIA,US,US-NE
ANDERSON MUNICIPAL DARLINGTON FIELD,AID,US,US-IN
AIKEN REGIONAL,AIK,US,US-SC
ATLANTIC MUNICIPAL,AIO,US,US-IA
GEORGE DOWNER,AIV,US,US-AL
LEE C FINE MEMORIAL,AIZ,US,US-MO
KAR,KAK,PG,PG-SHM
COLORADO PLAINS REGIONAL,AKO,US,US-CO
AKRON EXECUTIVE,AKC,US,US-OH
ALBANY INTERNATIONAL,ALB,US,US-NY
ALICE INTERNATIONAL,ALI,US,US-TX
ALAMOGORDO WHITE SANDS REGIONAL,ALM,US,US-NM
ST LOUIS REGIONAL,ALN,US,US-IL
WATERLOO REGIONAL,ALO,US,US-IA
SAN LUIS VALLEY REGIONAL/BERGMAN FIELD,ALS,US,US-CO
WALLA WALLA REGIONAL,ALW,US,US-WA
THOMAS C RUSSELL FIELD,ALX,US,US-AL
RICK HUSBAND AMARILLO INTERNATIONAL,AMA,US,US-TX
GRATIOT COMMUNITY,AMN,US,US-MI
AMES MUNICIPAL,AMW,US,US-IA
ANNISTON REGIONAL,ANB,US,US-AL
ANDERSON REGIONAL,AND,US,US-SC
SALIDA - HARRIET ALEXANDER FIELD,SLT,US,US-CO
LEE,ANP,US,US-MD
TRI STATE STEUBEN COUNTY,ANQ,US,US-IN
AINSWORTH REGIONAL,ANW,US,US-NE
ANTHONY MUNICIPAL,ANY,US,US-KS
LIMA ALLEN COUNTY,AOH,US,US-OH
ALTOONA BLAIR COUNTY,AOO,US,US-PA
CENTENNIAL,APA,US,US-CO
NAPA COUNTY,APC,US,US-CA
NAPLES MUNICIPAL,APF,US,US-FL
PHILLIPS ARMY AIR FIELD,APG,US,US-MD
A P HILL AAF (FORT A P HILL),APH,US,US-VA
ALPENA COUNTY REGIONAL,APN,US,US-MI
MARION COUNTY BROWN FIELD,APT,US,US-TN
APPLE VALLEY,APV,US,US-CA
KAMULAI,KAQ,PG,PG-CPM
ACADIANA REGIONAL,ARA,US,US-LA
ANN ARBOR MUNICIPAL,ARB,US,US-MI
WALNUT RIDGE REGIONAL,ARG,US,US-AR
WHARTON REGIONAL,WHT,US,US-TX
AURORA MUNICIPAL,AUZ,US,US-IL
WATERTOWN INTERNATIONAL,ART,US,US-NY
LAKELAND-NOBLE F. LEE MEMORIAL FIELD,ARV,US,US-WI
BEAUFORT COUNTY,BFT,US,US-SC
ASPEN-PITKIN CO/SARDY FIELD,ASE,US,US-CO
SPRINGDALE MUNICIPAL,SPZ,US,US-AR
NASHUA / BOIRE FIELD,ASH,US,US-NH
HARRISON COUNTY,ASL,US,US-TX
TALLADEGA MUNICIPAL,ASN,US,US-AL
ASTORIA REGIONAL,AST,US,US-OR
JOHN F KENNEDY MEMORIAL,ASX,US,US-WI
ASHLEY MUNICIPAL,ASY,US,US-ND
HARTSFIELD JACKSON ATLANTA INTERNATIONAL,ATL,US,US-GA
ARTESIA MUNICIPAL,ATS,US,US-NM
APPLETON INTERNATIONAL,ATW,US,US-WI
WATERTOWN REGIONAL,ATY,US,US-SD
AUGUSTA STATE,AUG,US,US-ME
AUSTIN MUNICIPAL,AUM,US,US-MN
AUBURN MUNICIPAL,AUN,US,US-CA
AUBURN UNIVERSITY REGIONAL,AUO,US,US-AL
AUSTIN BERGSTROM INTERNATIONAL,AUS,US,US-TX
WAUSAU DOWNTOWN,AUW,US,US-WI
ASHEVILLE REGIONAL,AVL,US,US-NC
AVON PARK EXECUTIVE,AVO,US,US-FL
WILKES BARRE SCRANTON INTERNATIONAL,AVP,US,US-PA
MARANA REGIONAL,AVW,US,US-AZ
CATALINA,AVX,US,US-CA
WEST MEMPHIS MUNICIPAL,AWM,US,US-AR
ALGONA MUNICIPAL,AXG,US,US-IA
CHANDLER FIELD,AXN,US,US-MN
ALTUS QUARTZ MOUNTAIN REGIONAL,AXS,US,US-OK
NEIL ARMSTRONG,AXV,US,US-OH
ANGEL FIRE,AXX,US,US-NM
WAYCROSS WARE COUNTY,AYS,US,US-GA
ARNOLD AIR FORCE BASE,TUH,US,US-TN
KALAMAZOO BATTLE CREEK INTERNATIONAL,AZO,US,US-MI
BEALE AIR FORCE BASE,BAB,US,US-CA
BARKSDALE AIR FORCE BASE,BAD,US,US-LA
WESTFIELD-BARNES REGIONAL,BAF,US,US-MA
COLUMBUS MUNICIPAL,CLU,US,US-IN
BATTLE MOUNTAIN,BAM,US,US-NV
BENSON MUNICIPAL,BBB,US,US-MN
CURTIS FIELD,BBD,US,US-TX
BRANSON,BKG,US,US-MO
MARLBORO COUNTY JETPORT H.E. AVENT FIELD,BTN,US,US-SC
BROKEN BOW MUNICIPAL,BBW,US,US-NE
VIRGINIA TECH MONTGOMERY EXECUTIVE,BCB,US,US-VA
BRYCE CANYON,BCE,US,US-UT
BOCA RATON,BCT,US,US-FL
BAUDETTE INTERNATIONAL,BDE,US,US-MN
BLANDING MUNICIPAL,BDG,US,US-UT
BRADLEY INTERNATIONAL,BDL,US,US-CT
IGOR I SIKORSKY MEMORIAL,BDR,US,US-CT
BOULDER MUNICIPAL,WBU,US,US-CO
BEECH FACTORY,BEC,US,US-KS
LAURENCE G HANSCOM FIELD,BED,US,US-MA
SOUTHWEST MICHIGAN REGIONAL,BEH,US,US-MI
BRADFORD REGIONAL,BFD,US,US-PA
WESTERN NEB. RGNL/WILLIAM B. HEILIG,BFF,US,US-NE
BOEING FIELD KING COUNTY INTERNATIONAL,BFI,US,US-WA
MEADOWS FIELD,BFL,US,US-CA
MOBILE DOWNTOWN,BFM,US,US-AL
VIRGIL I GRISSOM MUNICIPAL,BFR,US,US-IN
HUTCHINSON COUNTY,BGD,US,US-TX
DECATUR COUNTY INDUSTRIAL AIR PARK,BGE,US,US-GA
GREATER BINGHAMTON/EDWIN A LINK FIELD,BGM,US,US-NY
BANGOR INTERNATIONAL,BGR,US,US-ME
KAHAMA AIRSTRIP,KBH,TZ,TZ-22
HANCOCK COUNTY-BAR HARBOR,BHB,US,US-ME
BIRMINGHAM-SHUTTLESWORTH INTERNATIONAL,BHM,US,US-AL
BLOCK ISLAND STATE,BID,US,US-RI
BEATRICE MUNICIPAL,BIE,US,US-NE
BIGGS ARMY AIR FIELD (FORT BLISS),BIF,US,US-TX
EASTERN SIERRA REGIONAL,BIH,US,US-CA
BILLINGS LOGAN INTERNATIONAL,BIL,US,US-MT
BISMARCK MUNICIPAL,BIS,US,US-ND
KEESLER AIR FORCE BASE,BIX,US,US-MS
ROCKY MOUNTAIN METROPOLITAN,BJC,US,US-CO
BEMIDJI REGIONAL,BJI,US,US-MN
WAYNE COUNTY,BJJ,US,US-OH
STEPHENS COUNTY,BKD,US,US-TX
BAKER CITY MUNICIPAL,BKE,US,US-OR
BUCKLEY SPACE FORCE BASE,BFK,US,US-CO
BURKE LAKEFRONT,BKL,US,US-OH
ALLEN C PERKINSON BLACKSTONE ARMY AIR FIELD,BKT,US,US-VA
RALEIGH COUNTY MEMORIAL,BKW,US,US-WV
BROOKINGS REGIONAL,BKX,US,US-SD
MERCER COUNTY,BLF,US,US-WV
BLYTHE,BLH,US,US-CA
BELLINGHAM INTERNATIONAL,BLI,US,US-WA
MONMOUTH EXECUTIVE,BLM,US,US-NJ
BLUE CANYON NYACK,BLU,US,US-CA
SCOTT AFB/MIDAMERICA,BLV,US,US-IL
KABWUM,KBM,PG,PG-MPL
BRIGHAM CITY REGIONAL,BMC,US,US-UT
MONROE COUNTY,BMG,US,US-IN
CENTRAL ILLINOIS REGIONAL AT BLOOMINGTON-NORMAL,BMI,US,US-IL
BERLIN REGIONAL,BML,US,US-NH
BEAUMONT MUNICIPAL,BMT,US,US-TX
NASHVILLE INTERNATIONAL,BNA,US,US-TN
BANNING MUNICIPAL,BNG,US,US-CA
BARNWELL REGIONAL,BNL,US,US-SC
BURNS MUNICIPAL,BNO,US,US-OR
BOONE MUNICIPAL,BNW,US,US-IA
BOISE AIR TERMINAL/GOWEN FIELD,BOI,US,US-ID
LOGAN INTERNATIONAL,BOS,US,US-MA
BARTOW EXECUTIVE,BOW,US,US-FL
BIG SPRING MC MAHON-WRINKLE,HCA,US,US-TX
MILEY MEMORIAL FIELD,BPI,US,US-WY
OZARK REGIONAL,WMH,US,US-AR
JACK BROOKS REGIONAL,BPT,US,US-TX
BRUNSWICK GOLDEN ISLES,BQK,US,US-GA
BRAINERD LAKES REGIONAL,BRD,US,US-MN
SOUTHEAST IOWA REGIONAL,BRL,US,US-IA
BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,BRO,US,US-TX
SAMUELS FIELD,BRY,US,US-KY
KABEN,KBT,MH,MH-MAL
SKYPARK,BTF,US,US-UT
BATTLE CREEK EXECUTIVE AT KELLOGG FIELD,BTL,US,US-MI
BERT MOONEY,BTM,US,US-MT
BRITTON MUNICIPAL,TTO,US,US-SD
PITTSBURGH/BUTLER REGIONAL,BTP,US,US-PA
BATON ROUGE METROPOLITAN,BTR,US,US-LA
BURLINGTON INTERNATIONAL,BTV,US,US-VT
BEATTY,BTY,US,US-NV
CRAM FIELD,BUB,US,US-NE
BUFFALO NIAGARA INTERNATIONAL,BUF,US,US-NY
BUTLER MEMORIAL,BUM,US,US-MO
BOB HOPE,BUR,US,US-CA
BEAVER COUNTY,BFP,US,US-PA
BARTLESVILLE MUNICIPAL,BVO,US,US-OK
SKAGIT REGIONAL,MVW,US,US-WA
BATESVILLE REGIONAL,BVX,US,US-AR
BEVERLY REGIONAL,BVY,US,US-MA
BRAWLEY MUNICIPAL,BWC,US,US-CA
BROWNWOOD REGIONAL,BWD,US,US-TX
BOWLING GREEN WARREN COUNTY REGIONAL,BWG,US,US-KY
BALTIMORE/WASHINGTON INTERNATIONAL THURGOOD MARSHALL,BWI,US,US-MD
HARRY STERN,WAH,US,US-ND
BOWMAN REGIONAL,BWM,US,US-ND
GEORGE R CARR MEMORIAL AIR FIELD,BXA,US,US-LA
BUCKEYE MUNICIPAL,BXK,US,US-AZ
JOHNSON COUNTY,BYG,US,US-WY
ARKANSAS INTERNATIONAL,BYH,US,US-AR
BURLEY MUNICIPAL,BYI,US,US-ID
BICYCLE LAKE ARMY AIR FIELD,BYS,US,US-CA
BAY CITY REGIONAL,BBC,US,US-TX
GALLATIN FIELD,BZN,US,US-MT
GRAND GENEVA RESORT,XES,US,US-WI
PLYMOUTH MUNICIPAL,PLY,US,US-IN
NEW COALINGA MUNICIPAL,CLG,US,US-CA
WEXFORD COUNTY,CAD,US,US-MI
COLUMBIA METROPOLITAN,CAE,US,US-SC
CRAIG MOFFAT,CIG,US,US-CO
AKRON CANTON REGIONAL,CAK,US,US-OH
CLAYTON MUNICIPAL AIRPARK,CAO,US,US-NM
CARIBOU MUNICIPAL,CAR,US,US-ME
GREATER CUMBERLAND REGIONAL,CBE,US,US-WV
COUNCIL BLUFFS MUNICIPAL,CBF,US,US-IA
SHALZ FIELD,CBK,US,US-KS
COLUMBUS AIR FORCE BASE,CBM,US,US-MS
CABLE,CCB,US,US-CA
BUCHANAN FIELD,CCR,US,US-CA
NORTHEAST IOWA REGIONAL,CCY,US,US-IA
CALEDONIA COUNTY,LLX,US,US-VT
CEDAR CITY REGIONAL,CDC,US,US-UT
HARRELL FIELD,CDH,US,US-AR
WOODWARD FIELD,CDN,US,US-SC
CHADRON MUNICIPAL,CDR,US,US-NE
CHILDRESS MUNICIPAL,CDS,US,US-TX
ESSEX COUNTY,CDW,US,US-NJ
CESSNA AIRCRAFT FIELD,CEA,US,US-KS
JACK MC NAMARA FIELD,CEC,US,US-CA
WESTOVER ARB/METROPOLITAN,CEF,US,US-MA
OCONEE COUNTY REGIONAL,CEU,US,US-SC
METTEL FIELD,CEV,US,US-IN
BOB SIKES,CEW,US,US-FL
KYLE OAKLEY FIELD,CEY,US,US-KY
CORTEZ MUNICIPAL,CEZ,US,US-CO
COULTER FIELD,CFD,US,US-TX
TUSCOLA AREA,TZC,US,US-MI
GREENLEE COUNTY,CFT,US,US-AZ
COFFEYVILLE MUNICIPAL,CFV,US,US-KS
CAMBRIDGE DORCHESTER,CGE,US,US-MD
CUYAHOGA COUNTY,CGF,US,US-OH
CAPE GIRARDEAU REGIONAL,CGI,US,US-MO
COLLEGE PARK,CGS,US,US-MD
CASA GRANDE MUNICIPAL,CGZ,US,US-AZ
CHATTANOOGA METROPOLITAN (LOVELL FIELD),CHA,US,US-TN
CHICKASHA MUNICIPAL,CHK,US,US-OK
CHARLOTTESVILLE ALBEMARLE,CHO,US,US-VA
CHARLESTON INTERNATIONAL,CHS,US,US-SC
CHICO MUNICIPAL,CIC,US,US-CA
THE EASTERN IOWA,CID,US,US-IA
ARTHUR N NEU,CIN,US,US-IA
CAIRO REGIONAL,CIR,US,US-IL
CHIPPEWA COUNTY INTERNATIONAL,CIU,US,US-MI
KEGELMAN AF AUX FIELD,CKA,US,US-OK
NORTH CENTRAL WEST VIRGINIA,CKB,US,US-WV
GRAND MARAIS COOK COUNTY,GRM,US,US-MN
FLETCHER FIELD,CKM,US,US-MS
CROOKSTON MUNICIPAL KIRKWOOD FIELD,CKN,US,US-MN
CLARKSVILLE–MONTGOMERY COUNTY REGIONAL,CKV,US,US-TN
CHIGNIK LAGOON,KCL,US,US-AK
CLEVELAND HOPKINS INTERNATIONAL,CLE,US,US-OH
CLINTONVILLE MUNICIPAL,CLI,US,US-WI
CLINTON REGIONAL,CLK,US,US-OK
EASTERWOOD FIELD,CLL,US,US-TX
WILLIAM R FAIRCHILD INTERNATIONAL,CLM,US,US-WA
CLIFF HATFIELD MEMORIAL,CLR,US,US-CA
CHEHALIS CENTRALIA,CLS,US,US-WA
CHARLOTTE DOUGLAS INTERNATIONAL,CLT,US,US-NC
CLEARWATER AIR PARK,CLW,US,US-FL
JOHN GLENN COLUMBUS INTERNATIONAL,CMH,US,US-OH
UNIVERSITY OF ILLINOIS WILLARD,CMI,US,US-IL
HOUGHTON COUNTY MEMORIAL,CMX,US,US-MI
SPARTA FORT MC COY,CMY,US,US-WI
CLAREMONT MUNICIPAL,CNH,US,US-NH
BLOSSER MUNICIPAL,CNK,US,US-KS
CAVERN CITY AIR TERMINAL,CNM,US,US-NM
CHINO,CNO,US,US-CA
CHANUTE MARTIN JOHNSON,CNU,US,US-KS
TSTC WACO,CNW,US,US-TX
CANYONLANDS FIELD,CNY,US,US-UT
YELLOWSTONE REGIONAL,COD,US,US-WY
COEUR D'ALENE - PAPPY BOYINGTON FIELD,COE,US,US-ID
PATRICK AIR FORCE BASE,COF,US,US-FL
MERRITT ISLAND,COI,US,US-FL
COLEMAN MUNICIPAL,COM,US,US-TX
CONCORD MUNICIPAL,CON,US,US-NH
CITY OF COLORADO SPRINGS MUNICIPAL,COS,US,US-CO
COTULLA-LA SALLE COUNTY,COT,US,US-TX
COLUMBIA REGIONAL,COU,US,US-MO
WENDELL H FORD,CPF,US,US-KY
COMPTON WOODLEY,CPM,US,US-CA
CASPER-NATRONA COUNTY INTERNATIONAL,CPR,US,US-WY
ST LOUIS DOWNTOWN,CPS,US,US-IL
CHERAW MUNICIPAL/LYNCH BELLINGER FIELD,HCW,US,US-SC
COLORADO CREEK,KCR,US,US-AK
GRAND STRAND,CRE,US,US-SC
JACKSONVILLE EXECUTIVE AT CRAIG,CRG,US,US-FL
CORCORAN,CRO,US,US-CA
CORPUS CHRISTI INTERNATIONAL,CRP,US,US-TX
MCCLELLAN-PALOMAR,CLD,US,US-CA
C DAVID CAMPBELL FIELD CORSICANA MUNICIPAL,CRS,US,US-TX
Z M JACK STELL FIELD,CRT,US,US-AR
YEAGER,CRW,US,US-WV
ROSCOE TURNER,CRX,US,US-MS
COLUMBUS METROPOLITAN,CSG,US,US-GA
CLINTON SHERMAN,CSM,US,US-OK
CRESTON MUNICIPAL,CSQ,US,US-IA
CROSSVILLE MEMORIAL WHITSON FIELD,CSV,US,US-TN
CUT BANK INTERNATIONAL,CTB,US,US-MT
CROSS CITY,CTY,US,US-FL
SAMPSON COUNTY,CTZ,US,US-NC
JIM HAMILTON L.B. OWENS,CUB,US,US-SC
CUSHING MUNICIPAL,CUH,US,US-OK
CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CVG,US,US-KY
SHARP COUNTY REGIONAL,CKK,US,US-AR
CLOVIS MUNICIPAL,CVN,US,US-NM
CORVALLIS MUNICIPAL,CVO,US,US-OR
CANNON AIR FORCE BASE,CVS,US,US-NM
CENTRAL WISCONSIN,CWA,US,US-WI
KICKAPOO DOWNTOWN,KIP,US,US-TX
CHENNAULT INTERNATIONAL,CWF,US,US-LA
CLINTON MUNICIPAL,CWI,US,US-IA
CALEXICO INTERNATIONAL,CXL,US,US-CA
CONROE-NORTH HOUSTON REGIONAL,CXO,US,US-TX
CARSON,CSN,US,US-NV
CAPITAL CITY,HAR,US,US-PA
CHEYENNE REGIONAL JERRY OLSON FIELD,CYS,US,US-WY
DIMMIT COUNTY,CZT,US,US-TX
TIOGA MUNICIPAL,VEX,US,US-ND
DAVISON ARMY AIR FIELD,DAA,US,US-VA
DAYTONA BEACH INTERNATIONAL,DAB,US,US-FL
BARSTOW DAGGETT,DAG,US,US-CA
DALLAS LOVE FIELD,DAL,US,US-TX
DANVILLE REGIONAL,DAN,US,US-VA
JAMES M COX DAYTON INTERNATIONAL,DAY,US,US-OH
W H 'BUD' BARRON,DBN,US,US-GA
